tab	locations
location	lat_n	lat_s	lon_e	lon_w	analysts	citations
Jasper Knob	46.5	46.5	272.3	272.3		This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
jk.10a_LP-DIR-T-23	jk.10a_LP-DIR-T	jk.10a	1.9	254.6	56.9	0	0	0	0	22	903	This study	hargrave 2024-03-14 10:48:09	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.109	1.78e-07	4.52e-09	4.74e-09	2.27e-09
jk.10a_LP-DIR-T-24	jk.10a_LP-DIR-T	jk.10a	2.2	254.9	59.0	0	0	0	0	23	913	This study	hargrave 2024-03-14 14:56:25	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.109	1.75e-07	4.99e-09	5.14e-09	2.4e-09
jk.10a_LP-DIR-T-25	jk.10a_LP-DIR-T	jk.10a	2.3	255.7	56.4	0	0	0	0	24	923	This study	hargrave 2024-03-15 09:13:35	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.109	1.6100000000000005e-07	4.78e-09	4.94e-09	2.04e-09
jk.10a_LP-DIR-T-26	jk.10a_LP-DIR-T	jk.10a	2.0	252.0	55.5	0	0	0	0	25	933	This study	hargrave 2024-03-15 13:55:40	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.109	1.66e-07	4.62e-09	4.5e-09	1.95e-09
jk.10a_LP-DIR-T-27	jk.10a_LP-DIR-T	jk.10a	1.6	268.0	52.4	0	0	0	0	26	938	This study	hargrave 2024-03-18 09:32:04	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.109	1.56e-07	3.2799999999999994e-09	3.3399999999999996e-09	2.6100000000000003e-09
jk.10a_LP-DIR-T-28	jk.10a_LP-DIR-T	jk.10a	1.4	253.8	51.4	0	0	0	0	27	943	This study	hargrave 2024-03-18 15:00:16	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.109	1.53e-07	2.7699999999999997e-09	3.09e-09	1.7699999999999999e-09
jk.10a_LP-DIR-T-30	jk.10a_LP-DIR-T	jk.10a	2.0	252.4	54.2	0	0	0	0	29	945	This study	hargrave 2024-03-19 08:30:35	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.109	1.35e-07	3.78e-09	3.59e-09	1.369999999999999e-09
jk.10a_LP-DIR-T-31	jk.10a_LP-DIR-T	jk.10a	2.3	330.8	61.3	0	0	0	0	30	947	This study	hargrave 2024-03-19 11:14:16	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.109	5.22e-08	1.02e-09	1.6e-09	2.48e-09
jk.10a_LP-DIR-T-32	jk.10a_LP-DIR-T	jk.10a	1.5	254.7	48.1	0	0	0	0	31	949	This study	hargrave 2024-03-19 15:39:15	LT-T-Z:LP-DIR-T	b	32	u	8	273			pmagpy-4.2.109	8.5e-08	1.6800000000000002e-09	2.0100000000000003e-09	9.88e-10
jk.10a_LP-DIR-T-33	jk.10a_LP-DIR-T	jk.10a	1.9	216.9	47.2	0	0	0	0	32	951	This study	hargrave 2024-03-20 09:38:24	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.109	3.5e-08	9.98e-10	6.79e-10	2.43e-10
jk.10a_LP-DIR-T-34	jk.10a_LP-DIR-T	jk.10a	1.8	228.8	66.6	0	0	0	0	33	953	This study	hargrave 2024-03-20 14:15:38	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.109	2.2599999999999997e-08	2.12e-10	6.89e-10	3.9600000000000003e-10
jk.10a_LP-DIR-T-35	jk.10a_LP-DIR-T	jk.10a	3.0	235.1	37.2	0	0	0	0	34	955	This study	hargrave 2024-03-20 18:56:47	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.109	2.2599999999999997e-08	1.23e-09	9.77e-10	7.18e-11
jk.11a_LP-DIR-T-36	jk.11a_LP-DIR-T	jk.11a	3.0	286.2	-32.1	0	0	0	0	0	273	This study	hargrave 2024-02-20 15:12:10	LT-NO:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.109	3.91e-05	1.28e-06	2.02e-06	8.98e-07
jk.11a_LP-DIR-T-37	jk.11a_LP-DIR-T	jk.11a	3.2	284.1	-33.7	0	0	0	0	1	373	This study	hargrave 2024-02-21 11:02:41	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.109	3.8900000000000004e-05	1.53e-06	1.5e-06	1.18e-06
jk.11a_LP-DIR-T-38	jk.11a_LP-DIR-T	jk.11a	2.8	287.6	-34.3	0	0	0	0	2	473	This study	hargrave 2024-02-21 18:23:02	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.109	3.81e-05	9.75e-07	1.53e-06	1.11e-06
jk.11a_LP-DIR-T-40	jk.11a_LP-DIR-T	jk.11a	2.9	295.3	-35.3	0	0	0	0	4	573	This study	hargrave 2024-02-26 14:43:32	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.109	3.6e-05	1.11e-06	1.6e-06	9.03e-07
jk.11a_LP-DIR-T-42	jk.11a_LP-DIR-T	jk.11a	2.5	294.0	-35.6	0	0	0	0	6	673	This study	hargrave 2024-02-27 12:38:56	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.109	3.27e-05	8.1e-07	1.11e-06	7.729999999999998e-07
jk.11a_LP-DIR-T-43	jk.11a_LP-DIR-T	jk.11a	1.9	301.1	-36.8	0	0	0	0	7	723	This study	hargrave 2024-02-28 09:27:15	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.109	2.98e-05	5.95e-07	6.36e-07	6.68e-07
jk.11a_LP-DIR-T-44	jk.11a_LP-DIR-T	jk.11a	2.0	301.1	-37.7	0	0	0	0	8	773	This study	hargrave 2024-02-28 18:06:37	LT-T-Z:LP-DIR-T	b	44	u	8	273			pmagpy-4.2.109	2.59e-05	4.71e-07	5.18e-07	6.68e-07
jk.11a_LP-DIR-T-45	jk.11a_LP-DIR-T	jk.11a	3.1	299.8	-36.4	0	0	0	0	9	773	This study	hargrave 2024-02-28 19:55:59	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.109	2.58e-05	5.420000000000001e-07	8.48e-07	1.04e-06
jk.11a_LP-DIR-T-46	jk.11a_LP-DIR-T	jk.11a	1.3	306.4	-39.0	0	0	0	0	10	798	This study	hargrave 2024-03-04 11:03:12	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.109	2.24e-05	3.97e-07	1.8100000000000002e-07	4.1299999999999995e-07
jk.11a_LP-DIR-T-47	jk.11a_LP-DIR-T	jk.11a	1.2	308.0	-37.9	0	0	0	0	11	813	This study	hargrave 2024-03-04 16:59:32	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.109	1.93e-05	3.33e-07	1.43e-07	3.33e-07
jk.11a_LP-DIR-T-48	jk.11a_LP-DIR-T	jk.11a	1.2	309.9	-38.2	0	0	0	0	12	823	This study	hargrave 2024-03-05 11:09:49	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.109	1.7199999999999998e-05	2.82e-07	1.12e-07	2.94e-07
jk.11a_LP-DIR-T-49	jk.11a_LP-DIR-T	jk.11a	1.1	309.6	-38.0	0	0	0	0	13	828	This study	hargrave 2024-03-05 16:06:54	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.109	1.4999999999999999e-05	2.3e-07	1.04e-07	2.59e-07
jk.11a_LP-DIR-T-51	jk.11a_LP-DIR-T	jk.11a	0.9	306.1	-36.6	0	0	0	0	15	833	This study	hargrave 2024-03-06 16:13:16	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.109	1.4800000000000002e-05	2.03e-07	9.15e-08	2.58e-07
jk.11a_LP-DIR-T-52	jk.11a_LP-DIR-T	jk.11a	1.0	309.3	-37.5	0	0	0	0	16	838	This study	hargrave 2024-03-11 09:54:07	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.109	1.34e-05	1.7899999999999995e-07	9.679999999999999e-08	2.0899999999999998e-07
jk.11a_LP-DIR-T-53	jk.11a_LP-DIR-T	jk.11a	1.0	308.2	-36.8	0	0	0	0	17	843	This study	hargrave 2024-03-11 15:24:52	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.109	1.31e-05	1.8800000000000002e-07	9.009999999999999e-08	2.1399999999999998e-07
jk.11a_LP-DIR-T-54	jk.11a_LP-DIR-T	jk.11a	1.0	311.8	-36.5	0	0	0	0	18	848	This study	hargrave 2024-03-12 09:07:59	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.109	1.26e-05	1.8600000000000002e-07	8.5e-08	1.8399999999999998e-07
jk.11a_LP-DIR-T-55	jk.11a_LP-DIR-T	jk.11a	0.9	316.0	-36.6	0	0	0	0	19	853	This study	hargrave 2024-03-12 14:14:13	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.109	1.23e-05	1.71e-07	9.359999999999999e-08	1.55e-07
jk.11a_LP-DIR-T-56	jk.11a_LP-DIR-T	jk.11a	1.0	316.5	-37.4	0	0	0	0	20	873	This study	hargrave 2024-03-12 19:22:53	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.109	1.18e-05	1.8899999999999999e-07	8.83e-08	1.8899999999999999e-07
jk.11a_LP-DIR-T-57	jk.11a_LP-DIR-T	jk.11a	1.0	308.3	-37.2	0	0	0	0	21	893	This study	hargrave 2024-03-13 14:18:37	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.109	1.1400000000000001e-05	1.69e-07	7.43e-08	1.72e-07
jk.11a_LP-DIR-T-58	jk.11a_LP-DIR-T	jk.11a	1.1	318.4	-35.7	0	0	0	0	22	903	This study	hargrave 2024-03-14 10:49:21	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.109	1.12e-05	2.0399999999999997e-07	8.779999999999999e-08	1.6100000000000005e-07
jk.11a_LP-DIR-T-59	jk.11a_LP-DIR-T	jk.11a	1.1	316.5	-35.4	0	0	0	0	23	913	This study	hargrave 2024-03-14 14:57:37	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.109	1.1e-05	1.93e-07	9.009999999999999e-08	1.6399999999999999e-07
jk.11a_LP-DIR-T-60	jk.11a_LP-DIR-T	jk.11a	1.2	318.5	-35.2	0	0	0	0	24	923	This study	hargrave 2024-03-15 09:14:50	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.109	1.0800000000000003e-05	2.1100000000000002e-07	7.26e-08	1.66e-07
jk.11a_LP-DIR-T-61	jk.11a_LP-DIR-T	jk.11a	1.1	313.0	-36.7	0	0	0	0	25	933	This study	hargrave 2024-03-15 13:56:52	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.109	1.07e-05	1.85e-07	8.150000000000002e-08	1.8800000000000002e-07
jk.11a_LP-DIR-T-62	jk.11a_LP-DIR-T	jk.11a	1.0	315.4	-35.4	0	0	0	0	26	938	This study	hargrave 2024-03-18 09:33:35	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.109	1.07e-05	1.68e-07	7.68e-08	1.3900000000000001e-07
jk.11a_LP-DIR-T-63	jk.11a_LP-DIR-T	jk.11a	1.1	313.3	-36.4	0	0	0	0	27	943	This study	hargrave 2024-03-18 15:01:28	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.109	1.0300000000000001e-05	1.73e-07	8e-08	1.3900000000000001e-07
jk.11a_LP-DIR-T-64	jk.11a_LP-DIR-T	jk.11a	1.1	318.8	-37.1	0	0	0	0	28	945	This study	hargrave 2024-03-18 19:02:49	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.109	8.52e-06	1.43e-07	6.34e-08	1.14e-07
jk.11a_LP-DIR-T-65	jk.11a_LP-DIR-T	jk.11a	1.1	325.7	-37.0	0	0	0	0	29	947	This study	hargrave 2024-03-19 11:15:47	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.109	5.88e-06	1.05e-07	4.0099999999999995e-08	7.23e-08
jk.11a_LP-DIR-T-66	jk.11a_LP-DIR-T	jk.11a	1.1	321.6	-38.1	0	0	0	0	30	949	This study	hargrave 2024-03-19 15:40:27	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.109	5.38e-06	9.07e-08	3.7999999999999996e-08	7.35e-08
jk.11a_LP-DIR-T-67	jk.11a_LP-DIR-T	jk.11a	1.0	325.2	-36.3	0	0	0	0	31	951	This study	hargrave 2024-03-20 09:39:54	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.109	3.07e-06	4.780000000000001e-08	2.73e-08	3.39e-08
jk.11a_LP-DIR-T-68	jk.11a_LP-DIR-T	jk.11a	1.2	327.6	-34.3	0	0	0	0	32	953	This study	hargrave 2024-03-20 14:16:53	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.109	1.45e-06	2.85e-08	1.3400000000000001e-08	1.56e-08
jk.11a_LP-DIR-T-69	jk.11a_LP-DIR-T	jk.11a	1.0	322.9	-34.5	0	0	0	0	33	955	This study	hargrave 2024-03-20 18:58:11	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.109	1.0199999999999999e-07	1.6300000000000002e-09	9.239999999999999e-10	8.19e-10
jk.11a_LP-DIR-T-70	jk.11a_LP-DIR-T	jk.11a	1.4	344.4	-27.4	0	0	0	0	34	957	This study	hargrave 2024-03-21 12:04:08	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.109	6.63e-08	1.4000000000000001e-09	1.01e-09	7.920000000000001e-10
jk.11a_LP-DIR-T-71	jk.11a_LP-DIR-T	jk.11a	1.3	314.1	-38.0	0	0	0	0	35	959	This study	hargrave 2024-03-21 15:15:46	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.109	5.39e-08	1.5e-09	1.6e-09	7.480000000000001e-10
jk.12a_LP-DIR-T-72	jk.12a_LP-DIR-T	jk.12a	4.7	40.9	-6.6	0	0	0	0	0	273	This study	hargrave 2024-02-20 15:13:54	LT-NO:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.109	4.48e-06	1.95e-07	2.17e-07	2.3e-07
jk.12a_LP-DIR-T-73	jk.12a_LP-DIR-T	jk.12a	3.4	41.2	-6.8	0	0	0	0	1	373	This study	hargrave 2024-02-21 11:04:09	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.109	4.43e-06	5.230000000000001e-08	3.33e-08	2.61e-07
jk.12a_LP-DIR-T-74	jk.12a_LP-DIR-T	jk.12a	3.4	41.6	-7.6	0	0	0	0	2	473	This study	hargrave 2024-02-21 18:24:45	LT-T-Z:LP-DIR-T	g	74	u	8	273			pmagpy-4.2.109	4.01e-06	1.04e-07	1.2699999999999999e-07	1.7699999999999996e-07
jk.12a_LP-DIR-T-75	jk.12a_LP-DIR-T	jk.12a	4.9	43.3	-6.6	0	0	0	0	3	573	This study	hargrave 2024-02-26 13:06:38	LT-T-Z:LP-DIR-T	g	75	u	8	273			pmagpy-4.2.109	3.29e-06	1.06e-07	9.74e-08	2.4399999999999996e-07
jk.12a_LP-DIR-T-77	jk.12a_LP-DIR-T	jk.12a	0.9	45.2	-4.5	0	0	0	0	5	673	This study	hargrave 2024-02-27 12:40:24	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.2.109	2.35e-06	5.41e-09	1.74e-08	3.38e-08
jk.12a_LP-DIR-T-78	jk.12a_LP-DIR-T	jk.12a	3.7	43.9	-2.7	0	0	0	0	6	723	This study	hargrave 2024-02-28 09:29:22	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.2.109	1.78e-06	2.430000000000001e-08	1.75e-08	1.14e-07
jk.12a_LP-DIR-T-79	jk.12a_LP-DIR-T	jk.12a	2.4	45.3	-1.7	0	0	0	0	7	773	This study	hargrave 2024-02-28 18:08:20	LT-T-Z:LP-DIR-T	b	79	u	8	273			pmagpy-4.2.109	1.28e-06	1.2e-08	6.06e-09	5.22e-08
jk.12a_LP-DIR-T-80	jk.12a_LP-DIR-T	jk.12a	2.6	45.7	-1.9	0	0	0	0	8	773	This study	hargrave 2024-02-28 19:57:43	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.2.109	1.28e-06	1.4099999999999999e-08	1.03e-08	5.5800000000000003e-08
jk.12a_LP-DIR-T-81	jk.12a_LP-DIR-T	jk.12a	1.7	47.8	2.2	0	0	0	0	9	798	This study	hargrave 2024-03-04 11:04:56	LT-T-Z:LP-DIR-T	g	81	u	8	273			pmagpy-4.2.109	9.440000000000001e-07	1.16e-08	2.93e-09	2.63e-08
jk.12a_LP-DIR-T-82	jk.12a_LP-DIR-T	jk.12a	1.7	48.3	5.1	0	0	0	0	10	813	This study	hargrave 2024-03-04 17:01:16	LT-T-Z:LP-DIR-T	g	82	u	8	273			pmagpy-4.2.109	7.74e-07	1.1200000000000001e-08	2.97e-09	2.2200000000000004e-08
jk.12a_LP-DIR-T-83	jk.12a_LP-DIR-T	jk.12a	1.7	53.0	6.4	0	0	0	0	11	823	This study	hargrave 2024-03-05 11:11:35	LT-T-Z:LP-DIR-T	g	83	u	8	273			pmagpy-4.2.109	6.72e-07	1.05e-08	3.88e-09	1.84e-08
jk.12a_LP-DIR-T-85	jk.12a_LP-DIR-T	jk.12a	1.5	52.2	9.6	0	0	0	0	13	828	This study	hargrave 2024-03-06 09:09:05	LT-T-Z:LP-DIR-T	g	85	u	8	273			pmagpy-4.2.109	5.24e-07	6.459999999999999e-09	1.9699999999999996e-09	1.44e-08
jk.12a_LP-DIR-T-87	jk.12a_LP-DIR-T	jk.12a	1.6	54.9	11.0	0	0	0	0	15	833	This study	hargrave 2024-03-06 16:14:43	LT-T-Z:LP-DIR-T	g	87	u	8	273			pmagpy-4.2.109	4.95e-07	5.17e-09	3.24e-09	1.32e-08
jk.12a_LP-DIR-T-89	jk.12a_LP-DIR-T	jk.12a	1.6	67.5	14.7	0	0	0	0	17	838	This study	hargrave 2024-03-11 11:31:16	LT-T-Z:LP-DIR-T	g	89	u	8	273			pmagpy-4.2.109	3.520000000000001e-07	3.4399999999999997e-09	2.9600000000000005e-09	9.21e-09
jk.12a_LP-DIR-T-90	jk.12a_LP-DIR-T	jk.12a	1.7	63.6	13.6	0	0	0	0	18	843	This study	hargrave 2024-03-11 15:26:18	LT-T-Z:LP-DIR-T	g	90	u	8	273			pmagpy-4.2.109	3.33e-07	4.64e-09	2.54e-09	8.63e-09
jk.12a_LP-DIR-T-91	jk.12a_LP-DIR-T	jk.12a	1.8	74.1	16.7	0	0	0	0	19	848	This study	hargrave 2024-03-12 09:09:25	LT-T-Z:LP-DIR-T	b	91	u	8	273			pmagpy-4.2.109	3.2e-07	3.5e-09	3.04e-09	8.940000000000001e-09
jk.12a_LP-DIR-T-93	jk.12a_LP-DIR-T	jk.12a	1.5	62.0	14.2	0	0	0	0	21	853	This study	hargrave 2024-03-12 15:52:30	LT-T-Z:LP-DIR-T	g	93	u	8	273			pmagpy-4.2.109	3.24e-07	1.9600000000000003e-09	2.72e-09	8.45e-09
jk.12a_LP-DIR-T-94	jk.12a_LP-DIR-T	jk.12a	1.6	69.1	12.5	0	0	0	0	22	873	This study	hargrave 2024-03-12 19:24:37	LT-T-Z:LP-DIR-T	g	94	u	8	273			pmagpy-4.2.109	2.89e-07	2.35e-09	2.1600000000000004e-09	7.75e-09
jk.12a_LP-DIR-T-95	jk.12a_LP-DIR-T	jk.12a	1.6	72.1	12.7	0	0	0	0	23	893	This study	hargrave 2024-03-13 14:20:21	LT-T-Z:LP-DIR-T	g	95	u	8	273			pmagpy-4.2.109	2.830000000000001e-07	3.2e-09	2.2e-09	7.140000000000001e-09
jk.12a_LP-DIR-T-96	jk.12a_LP-DIR-T	jk.12a	1.6	57.8	16.0	0	0	0	0	24	903	This study	hargrave 2024-03-14 10:50:47	LT-T-Z:LP-DIR-T	g	96	u	8	273			pmagpy-4.2.109	2.68e-07	2.9600000000000005e-09	1.52e-09	7.120000000000002e-09
jk.12a_LP-DIR-T-97	jk.12a_LP-DIR-T	jk.12a	3.4	359.9	-5.5	0	0	0	0	25	913	This study	hargrave 2024-03-14 14:59:04	LT-T-Z:LP-DIR-T	g	97	u	8	273			pmagpy-4.2.109	8.369999999999999e-08	3.63e-09	3.03e-09	3.6599999999999998e-09
jk.12a_LP-DIR-T-98	jk.12a_LP-DIR-T	jk.12a	2.8	2.6	2.9	0	0	0	0	26	923	This study	hargrave 2024-03-15 09:16:18	LT-T-Z:LP-DIR-T	g	98	u	8	273			pmagpy-4.2.109	7.990000000000002e-08	3.37e-09	1.45e-09	3.85e-09
