,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
JK25,2.87E+07,797534,4513.83,65.635,1427.49,30.3961,1225.82,27.2336,2646.35,83.943,19.1011,5.87649,750.646,76.5324,2.87E+07,797622,21.105,1.64756,1,0,2.87E+07,797540,122.783,65.7041,1420.21,30.3931,1218.91,27.2272,2631.83,83.9435,16.5039,5.87564,747.707,76.5972,2.87E+07,797624,2.82117,0.251133,8090.3,436.043,334.821,31.0722,5723.72,100.264,-816.018,71.0602,65537.4,1713.76,6.41863,0.526252,0.561433,12260.6,477.618,258.919,22.3229,23.6158,5499.51,90.1084,-816.018,71.0602,65537.4,1713.76,0.863277,0.022076,0.0221381,4816.81,30.8166,0.207791,0.0177603,-242.55,33.9607,2.50906,0.205699,0.219451,7675.53,383.568,409.21,300.872,25.9379,27.4401,5651.28,90.1609,95.3826,0.872566,0.0223136,0.0223764,4811.34,32.9471,33.0397,0.530896,0.0453719,0.0484051,0.056319,0.934522
JK25,2.79E+07,781665,4510.83,59.0985,2377.34,83.8951,1954.71,76.8622,4308.03,191.494,39.548,8.8703,2136.66,142.513,2.79E+07,781958,21.105,1.64756,1,0,2.79E+07,781648,247.295,59.1206,2370.42,83.8925,1949.26,76.8342,4292.15,191.546,36.9445,8.87138,2141.42,142.409,2.79E+07,781944,1.31841,0.107564,5235.31,283.428,148.729,12.7543,4973.49,82.7867,-1078.72,136.54,72839.2,2002.49,3.2003,0.27915,0.295699,8769.85,399.071,123.095,11.3361,11.9134,4750.81,89.2112,-1078.72,136.54,72839.2,2002.49,0.822157,0.0176655,0.0177358,4806.52,26.5528,0.410176,0.0305553,-543.492,76.7187,1.25023,0.109059,0.115524,4989.17,292.016,309.327,142.932,13.1638,13.8342,4900.96,89.3383,93.8887,0.831071,0.0178569,0.0179279,4814.55,26.5122,26.6177,1.04882,0.0781422,0.0827746,-0.0527972,0.969713
JK25,2.52E+07,688093,4563.02,72.3828,1399.74,45.3192,989.483,33.1701,2250.49,90.9454,326.199,137.641,2999.86,193.057,2.52E+07,688234,21.105,1.64756,1,0,2.52E+07,688098,68.2512,72.3713,1391.09,45.3305,982.718,33.1608,2239.09,90.9529,324.681,137.636,2996.65,193.052,2.52E+07,688239,0.541699,0.0352345,2741.74,139.742,53.0909,3.98343,3988.91,70.8048,-678.423,118.547,44541.8,4587.57,1.24412,0.0654729,0.0756594,5145.66,183.319,41.6806,2.65131,2.92721,3768.7,61.7881,-678.423,118.547,44541.8,4587.57,0.721631,0.0265518,0.0265879,4621.14,38.2931,0.867384,0.0403339,-1044.34,186.432,0.479566,0.0252242,0.0291487,2515.39,110.714,127.939,47.6536,3.02987,3.34516,3901.36,61.9402,68.3857,0.72983,0.0268535,0.02689,4629.25,37.907,37.9585,2.24827,0.104511,0.120771,0.032759,0.793707
JK25,2.77E+07,871747,4449.08,67.4895,1175.06,53.8119,861.594,37.0717,1986.68,101.498,178.043,66.4945,2185.03,104.593,2.77E+07,871933,20.8935,1.6476,1,0,2.77E+07,871754,-43.5922,67.5343,1166.71,53.7884,855.977,37.0463,1974.22,101.517,175.946,66.4919,2181.51,104.617,2.77E+07,871939,0.543897,0.0186814,2788.18,78.1229,55.6569,2.13831,4073.02,37.2817,-631.051,86.8786,36809.8,4738.61,1.27731,0.0470224,0.0610448,5279.83,132.302,44.8984,1.82654,2.26322,3856.07,39.2196,-631.051,86.8786,36809.8,4738.61,0.756507,0.0260066,0.0260471,4659.13,41.9298,0.815575,0.0324609,-714.752,96.2681,0.49141,0.0180979,0.0234949,2566.44,75.4501,97.9499,51.2253,2.08481,2.58324,3986.99,39.3516,48.7595,0.765097,0.0263019,0.0263428,4664.71,41.8679,41.9331,2.11835,0.0843708,0.109531,0.193905,0.407136
JK25,2.88E+07,861752,4499.91,64.6192,1577.1,75.1057,1234.17,54.7751,2759.29,150.537,74.269,13.1912,1872.87,98.1123,2.89E+07,862079,20.4687,1.62002,1,0,2.88E+07,861755,33.1371,64.4666,1569.51,75.109,1229.06,54.7872,2746.12,150.541,71.9769,13.1908,1868.94,98.0931,2.89E+07,862081,0.855271,0.026574,3981.55,90.6365,93.5275,3.15009,4611.11,34.8694,-517.55,98.2984,62058.8,2037.73,2.04241,0.0692533,0.0931154,7138.99,145.851,76.0827,2.68062,3.50913,4398.33,34.9023,-517.55,98.2984,62058.8,2037.73,0.798985,0.0222954,0.022348,4720.95,37.5492,0.505627,0.0173775,-347.463,63.5725,0.784155,0.0266021,0.0357682,3701.48,95.4532,128.343,86.611,3.05248,3.99593,4528.24,34.9734,45.7828,0.808045,0.0225481,0.0226014,4723.05,37.2904,37.3784,1.31595,0.0452492,0.0608405,0.335591,0.629492
JK25,2.90E+07,798446,4450.48,61.3344,1189.63,102.556,924.267,88.819,2134.14,209.996,16.5714,5.55873,1391.25,58.3742,2.90E+07,798850,21.105,1.64756,1,0,2.90E+07,798448,-11.8486,61.5759,1181.09,102.584,917.995,88.849,2121.23,209.982,14.4809,5.55798,1388.7,58.3668,2.90E+07,798852,0.850639,0.0666408,3796.52,243.015,91.4375,8.10497,4340.15,122.735,-783.529,103.838,59441,5673.6,2.08472,0.181574,0.192369,6781.53,420.5,76.6967,7.45528,7.79696,4122.29,134.793,-783.529,103.838,59441,5673.6,0.748085,0.0280133,0.0280501,4637.23,53.0905,0.826878,0.121392,-523.13,45.444,0.798816,0.0695981,0.0737358,3614.51,262.055,277.635,87.128,8.47192,8.86019,4248.26,135.362,141.565,0.756552,0.0283305,0.0283677,4641.49,53.4628,53.5329,2.157,0.316766,0.335598,-0.0680219,0.949499
JK25,2.71E+07,990396,4437.91,73.4343,892.701,48.236,539.114,41.277,1222.85,106.275,34.4633,9.53313,2780.77,125.976,2.71E+07,990613,20.8935,1.6476,1,0,2.71E+07,990393,66.6942,73.5379,884.179,48.203,531.537,41.2975,1211.02,106.249,32.9833,9.52734,2779,125.973,2.71E+07,990608,0.32475,0.0161265,1791.85,77.5627,27.0789,2.11005,3258.86,84.5237,-527.704,74.3821,48750.3,3247.65,0.793726,0.0484068,0.0541144,3664.61,170.361,22.8526,2.01245,2.12429,3050.08,94.0719,-527.704,74.3821,48750.3,3247.65,0.586749,0.0296365,0.0296579,4321.8,70.3233,1.48544,0.0915741,-1332.48,143.495,0.303459,0.0185166,0.0206999,1680,90.0244,100.639,25.9,2.28153,2.40833,3169.84,94.7717,100.039,0.593375,0.0299713,0.029993,4334.1,70.1898,70.2404,3.88267,0.239471,0.267706,-0.251168,0.792837
JK25,2.95E+07,681714,4403.82,70.5804,1378.64,80.3758,1086.16,59.9991,2500.84,166.829,17.2414,5.64726,1477.12,170.115,2.95E+07,682083,20.8935,1.6476,1,0,2.95E+07,681720,59.7596,70.5077,1372.56,80.3316,1078.11,59.9945,2490.66,166.8,16.811,5.64411,1475.34,170.121,2.95E+07,682088,1.27758,0.0911669,5104.5,259.574,140.479,9.85205,4907.17,80.4155,-4698.61,444.243,63325.1,3276.73,2.91355,0.182757,0.203186,8589.03,318.172,110.505,7.10556,7.82991,4714.18,67.1686,-4698.61,444.243,63325.1,3276.73,0.799451,0.024214,0.0242625,4735.99,34.7085,0.401386,0.0316606,-2321.3,275.081,1.11135,0.0696927,0.0774832,4723.47,223.538,248.525,124.933,8.03142,8.85014,4837.58,67.2408,74.0954,0.808454,0.0244866,0.0245357,4744.95,34.6588,34.7283,1.05127,0.0829149,0.0921833,0.0554533,0.79881
JK25,2.66E+07,913221,4466.32,71.5262,1592.11,72.6875,1301.19,63.5603,3002.61,159.126,41.7143,9.35661,1190.01,85.7717,2.66E+07,913430,20.8935,1.6476,1,0,2.66E+07,913208,168.866,71.526,1586.31,72.7202,1294.12,63.5317,2993.83,159.107,41.7024,9.3559,1187.09,85.753,2.66E+07,913416,1.74323,0.162382,6049.79,377.103,198.453,18.8747,5158.44,105.925,40123,32063.4,152008,16931.8,4.33404,0.441228,0.460575,9821.02,551.947,167.874,17.3726,18.0769,4937.93,118.26,40123,32063.4,152008,16931.8,0.819465,0.0216724,0.0217293,4773.71,33.4938,0.387937,0.0399651,-10493.4,11536.5,1.64998,0.16802,0.175387,5752,408.165,426.061,189.412,19.6065,20.4014,5059.13,118.423,123.224,0.828667,0.0219158,0.0219734,4771.61,35.8636,35.9578,1.01842,0.104938,0.10954,0.000434481,0.96751
JK25,2.48E+07,751631,4510.22,72.3918,1465.03,54.5681,1101.51,48.3428,2523.04,110.681,179.662,22.9924,2087.11,92.0081,2.48E+07,751722,21.1056,1.6476,1,0,2.48E+07,751629,130.356,71.6463,1457.97,54.5647,1095.43,48.3407,2515.34,110.661,179.288,22.9904,2083.09,92.0081,2.48E+07,751723,0.769,0.0505743,3606.53,180.679,82.3961,6.43614,4367.69,73.8034,-1812.69,523.403,51250,2374.33,1.87722,0.140704,0.151891,6526.83,301.289,68.1291,5.8634,6.20415,4146.96,82.8492,-1812.69,523.403,51250,2374.33,0.751296,0.023997,0.0240403,4699.69,39.0402,0.659217,0.0429662,-1031.68,325.531,0.713037,0.0534635,0.057714,3361.05,194.321,209.77,76.6916,6.60228,6.98598,4264.86,83.0386,87.8644,0.759704,0.0242657,0.0243095,4708.87,39.1228,39.1933,1.73429,0.113085,0.122076,-0.0165614,0.875779
JK25,2.16E+07,473805,4422.43,97.7169,498.303,29.7652,244.198,17.0575,536.157,55.3461,43.2099,14.2855,1891.36,81.3984,2.16E+07,473864,31.3932,1.12241,1,0,2.16E+07,473813,118.184,98.0413,491.354,29.7697,238.409,17.0537,530.751,55.3368,43.039,14.2869,1888.3,81.3927,2.16E+07,473870,0.263109,0.0168832,1494.23,84.5128,17.7142,1.42871,2939.69,89.5683,-1996.99,406.685,30877.8,3441.97,0.562339,0.037401,0.0411406,2840.12,149.408,12.8582,1.04351,1.11148,2621.65,85.0467,-1996.99,406.685,30877.8,3441.97,0.52141,0.0483607,0.048371,4032.75,125.896,1.88953,0.122467,-6781.97,1204.23,0.213054,0.0141724,0.0155894,1236.3,73.7974,81.1761,14.4368,1.17168,1.248,2730.14,85.8412,91.4324,0.527223,0.0488998,0.0489103,4049.34,125.756,125.783,4.98281,0.322984,0.355278,0.357748,0.179679
JK25,2.67E+07,923246,4322.59,67.1872,1735.02,96.5624,1433.58,86.3264,3097.02,201.179,31.25,8.02035,1360.42,70.9191,2.67E+07,923566,20.5753,1.63389,1,0,2.67E+07,923248,91.8793,67.3041,1726.82,96.6003,1428.58,86.3083,3093.08,201.161,31.31,8.02046,1358.29,70.9272,2.67E+07,923569,1.49104,0.148727,5540.21,353.962,172.425,18.2827,5044.92,105.35,42337.8,6164.63,175072,10561.5,3.69429,0.421672,0.436444,9193.45,532.854,144.826,17.1089,17.6436,4827.66,119.062,42337.8,6164.63,175072,10561.5,0.83414,0.0230072,0.0230628,4763,39.0379,0.421958,0.042609,16217.8,1779.34,1.3975,0.159572,0.165162,5257.77,393.673,407.464,162.357,19.1862,19.7858,4942.27,119.227,122.953,0.843414,0.0232631,0.0233193,4765.88,39.4321,39.5274,1.1148,0.112605,0.11655,-0.0593447,0.815614
JK25,2.85E+07,848769,4459.09,66.9983,1709.33,57.3856,1260.51,46.4614,2891.92,134.582,62.5001,13.008,2734.64,112.853,2.85E+07,848892,20.8935,1.6476,1,0,2.85E+07,848758,153.603,67.0128,1700.33,57.3717,1255.25,46.4893,2888.08,134.593,62.5893,13.008,2732.23,112.835,2.85E+07,848879,0.685851,0.0406375,3284.99,152.859,70.163,4.42301,4232.25,69.4789,17436.5,2532.33,144697,10870.2,1.68345,0.120129,0.130627,6079.83,285.671,58.7833,4.43016,4.76315,4014.57,82.7323,17436.5,2532.33,144697,10870.2,0.734613,0.0194322,0.0194833,4708.09,33.0475,0.760544,0.0604426,17445.9,2466.98,0.63553,0.0453713,0.049336,3064.15,174.645,189.906,65.7686,4.95871,5.33143,4126.04,82.9726,89.2093,0.742755,0.0196477,0.0196993,4717.93,32.9771,33.0638,2.01325,0.160072,0.174059,-0.0787917,0.77103
JK25,2.93E+07,918203,4432.14,69.9351,1320.74,69.6602,1174.36,64.8654,2584.09,153.416,64.2051,16.3476,399.785,64.2608,2.93E+07,918403,21.1056,1.6476,1,0,2.93E+07,918209,118.344,69.8735,1314,69.6085,1167.74,64.8776,2578.13,153.477,63.9735,16.3439,396.776,64.2692,2.93E+07,918411,7.85361,1.34516,11733.2,787.886,1041.6,210.768,6447.58,178.216,-8620.18,1415.38,54593.9,3618.06,19.4817,3.3704,3.4223,16481,980.583,877.689,176.732,178.653,6223.89,189.289,-8620.18,1415.38,54593.9,3618.06,0.897781,0.0305495,0.0305981,4760.46,46.4704,0.162144,0.0302147,-619.411,108.305,7.34087,1.27004,1.2896,11241.6,813.177,825.698,980.206,197.374,199.518,6335.42,189.408,191.466,0.907702,0.0308872,0.0309363,4759.66,47.3272,47.4024,0.430069,0.0801528,0.0813869,-0.134562,0.991863
JK25,2.76E+07,878079,4222.07,72.7719,872.952,33.0662,613.723,24.6931,1387.16,64.3552,40.8047,11.3353,1633.08,91.2673,2.76E+07,878199,20.8935,1.6476,1,0,2.76E+07,878070,-48.33,73.3289,867.494,33.0779,607.167,24.6849,1377.58,64.3929,39.8906,11.3324,1630.77,91.26,2.76E+07,878186,0.5734,0.0275866,2917.19,111.546,55.8051,2.90598,4059.96,52.3677,-1092.75,132.09,44964.6,3521.79,1.3486,0.0634981,0.075639,5448.51,164.312,44.7318,2.36632,2.71517,3842.05,51.3975,-1092.75,132.09,44964.6,3521.79,0.713333,0.0282051,0.0282383,4589.64,46.5976,0.79606,0.0340057,-1287.48,161.415,0.507224,0.0238839,0.0284505,2622.44,95.6978,113.995,49.8703,2.63839,3.02735,3949.94,51.5232,59.1189,0.721195,0.028516,0.0285495,4599.87,46.5307,46.5855,2.11466,0.0903342,0.107606,0.138939,0.721662
